Month,Search_frequency
2004-01,3
2004-02,4
2004-03,4
2004-04,4
2004-05,5
2004-06,6
2004-07,7
2004-08,6
2004-09,7
2004-10,5
2004-11,4
2004-12,3
2005-01,4
2005-02,3
2005-03,4
2005-04,6
2005-05,9
2005-06,6
2005-07,8
2005-08,8
2005-09,7
2005-10,6
2005-11,10
2005-12,9
2006-01,10
2006-02,8
2006-03,17
2006-04,9
2006-05,10
2006-06,11
2006-07,12
2006-08,18
2006-09,14
2006-10,13
2006-11,11
2006-12,7
2007-01,10
2007-02,8
2007-03,9
2007-04,11
2007-05,11
2007-06,15
2007-07,15
2007-08,18
2007-09,16
2007-10,16
2007-11,12
2007-12,9
2008-01,12
2008-02,10
2008-03,13
2008-04,13
2008-05,15
2008-06,19
2008-07,20
2008-08,20
2008-09,20
2008-10,16
2008-11,13
2008-12,12
2009-01,11
2009-02,12
2009-03,14
2009-04,20
2009-05,21
2009-06,22
2009-07,27
2009-08,27
2009-09,27
2009-10,21
2009-11,19
2009-12,16
2010-01,15
2010-02,14
2010-03,16
2010-04,17
2010-05,21
2010-06,28
2010-07,45
2010-08,78
2010-09,100
2010-10,80
2010-11,64
2010-12,43
2011-01,46
2011-02,41
2011-03,41
2011-04,41
2011-05,48
2011-06,59
2011-07,67
2011-08,68
2011-09,63
2011-10,51
2011-11,41
2011-12,38
2012-01,37
2012-02,36
2012-03,41
2012-04,40
2012-05,48
2012-06,59
2012-07,62
2012-08,63
2012-09,56
2012-10,45
2012-11,37
2012-12,33
2013-01,34
2013-02,32
2013-03,39
2013-04,40
2013-05,44
2013-06,57
2013-07,64
2013-08,58
2013-09,54
2013-10,45
2013-11,38
2013-12,32
2014-01,33
2014-02,31
2014-03,35
2014-04,45
2014-05,45
2014-06,56
2014-07,66
2014-08,67
2014-09,55
2014-10,48
2014-11,38
2014-12,36
2015-01,35
2015-02,33
2015-03,38
2015-04,40
2015-05,47
2015-06,63
2015-07,70
2015-08,64
2015-09,61
2015-10,50
2015-11,43
2015-12,41
2016-01,42
2016-02,42
2016-03,46
2016-04,47
2016-05,53
2016-06,69
2016-07,71
2016-08,64
2016-09,62
2016-10,50
2016-11,44
2016-12,38
2017-01,39
2017-02,39
2017-03,44
2017-04,46
2017-05,54
2017-06,71
2017-07,73
2017-08,66
2017-09,57
2017-10,52
2017-11,45
2017-12,38
2018-01,37
2018-02,37
2018-03,41
2018-04,42
2018-05,50
2018-06,64
2018-07,70
2018-08,67
